,X1,Pclass,Sex,Cause,Education,Age,Location ,random_number,,,,original
1,25421,2,Men,Firearm,Primary or less,69 +,Street,1,Firearm,,,Firearm
2,15073,3,Men,Other,High School or more,30-44,Other,2,Other,,,Non-specified means
3,31878,2,Men,Firearm,Primary or less,30-44,Street,3,Firearm,,,Firearm
4,28037,2,Men,Other,Primary or less,45-69,Street,4,Other,,,Non-specified means
5,27274,2,Men,Firearm,Primary or less,30-44,Street,5,Firearm,,,Firearm
6,19866,1,Men,Firearm,High School or more,20-29,Home,6,Firearm,,,Firearm
7,15742,2,Women,Other,High School or more,30-44,Street,7,Other,,,Non-specified means
8,9825,2,Men,Firearm,Primary or less,69 +,Street,8,Firearm,,,Firearm
9,24147,2,Men,Firearm,High School or more,30-44,Street,9,Firearm,,,Firearm
10,17279,3,Men,Other,Primary or less,20-29,Other,10,Other,,,Non-specified means
11,19588,2,Men,Firearm,High School or more,20-29,Street,11,Firearm,,,Firearm
12,9026,3,Men,Firearm,Middle school,69 +,Other,12,Firearm,,,Firearm
13,26892,3,Men,Other,Primary or less,45-69,Other,13,Other,,,Other
14,9337,2,Women,Firearm,Middle school,45-69,Street,14,Firearm,,,Firearm
15,21911,1,Men,Other,Primary or less,45-69,Home,15,Other,,,Other
16,24564,2,Men,Firearm,High School or more,30-44,Street,16,Firearm,,,Firearm
17,6826,2,Men,Other,Primary or less,30-44,Street,17,Other,,,Knife
18,3988,2,Men,Firearm,Primary or less,30-44,Street,18,Firearm,,,Firearm
19,31474,3,Men,Firearm,Middle school,45-69,Other,19,Firearm,,,Firearm
20,632,1,Men,Firearm,High School or more,20-29,Home,20,Firearm,,,Firearm
21,25216,3,Men,Other,Primary or less,69 +,Other,21,Other,,,Asphyxiation
22,634,2,Men,Other,Primary or less,69 +,Street,22,Other,,,Knife
23,2030,2,Men,Firearm,Middle school,20-29,Street,23,Firearm,,,Firearm
24,13503,2,Men,Firearm,High School or more,30-44,Street,24,Firearm,,,Firearm
25,10745,3,Men,Firearm,High School or more,30-44,Other,25,Firearm,,,Firearm
26,29798,2,Men,Firearm,High School or more,30-44,Street,26,Firearm,,,Firearm
27,9550,2,Men,Firearm,High School or more,30-44,Street,27,Firearm,,,Firearm
28,13002,2,Men,Firearm,High School or more,20-29,Street,28,Firearm,,,Firearm
29,1389,3,Men,Firearm,Primary or less,30-44,Other,29,Firearm,,,Firearm
30,603,2,Men,Firearm,High School or more,30-44,Street,30,Firearm,,,Firearm
31,21280,3,Men,Other,High School or more,30-44,Other,31,Other,,,Non-specified means
32,6901,3,Men,Other,Primary or less,20-29,Other,32,Other,,,Non-specified means
33,23927,3,Men,Firearm,Middle school,30-44,Other,33,Firearm,,,Firearm
34,20929,1,Women,Firearm,Middle school,30-44,Home,34,Firearm,,,Firearm
35,20064,3,Men,Firearm,Middle school,20-29,Other,35,Firearm,,,Firearm
36,4885,2,Men,Firearm,Middle school,30-44,Street,36,Firearm,,,Firearm
37,18106,2,Women,Firearm,Middle school,30-44,Street,37,Firearm,,,Firearm
38,26684,1,Men,Firearm,High School or more,20-29,Home,38,Firearm,,,Firearm
39,16492,2,Men,Firearm,High School or more,30-44,Street,39,Firearm,,,Firearm
40,2950,2,Men,Firearm,Primary or less,20-29,Street,40,Firearm,,,Firearm
41,25656,3,Women,Firearm,Primary or less,20-29,Other,41,Firearm,,,Firearm
42,14570,1,Men,Other,Primary or less,0-19,Home,42,Other,,,Knife
43,21588,2,Men,Other,Middle school,30-44,Street,43,Other,,,Non-specified means
44,19902,3,Men,Other,Primary or less,69 +,Other,44,Other,,,Non-specified means
45,28441,1,Women,Other,Middle school,45-69,Home,45,Other,,,Asphyxiation
46,17327,2,Men,Firearm,High School or more,20-29,Street,46,Firearm,,,Firearm
47,30137,3,Men,Other,High School or more,20-29,Other,47,Other,,,Non-specified means
48,2792,2,Men,Other,High School or more,20-29,Street,48,Other,,,Other
49,27616,2,Men,Other,Middle school,45-69,Street,49,Other,,,Knife
50,14993,2,Men,Firearm,High School or more,20-29,Street,50,Firearm,,,Firearm
51,18414,3,Men,Other,Primary or less,20-29,Other,51,Other,,,Asphyxiation
52,16891,1,Women,Other,Middle school,0-19,Home,52,Other,,,Other
53,4589,3,Men,Other,Middle school,45-69,Other,53,Other,,,Knife
54,7950,2,Men,Firearm,Middle school,30-44,Street,54,Firearm,,,Firearm
55,17614,2,Men,Firearm,Middle school,30-44,Street,55,Firearm,,,Firearm
56,26837,2,Men,Firearm,High School or more,30-44,Street,56,Firearm,,,Firearm
57,10578,1,Men,Firearm,Middle school,20-29,Home,57,Firearm,,,Firearm
58,26116,2,Men,Firearm,High School or more,30-44,Street,58,Firearm,,,Firearm
59,16066,1,Men,Other,Middle school,45-69,Home,59,Other,,,Asphyxiation
60,5932,2,Men,Firearm,Middle school,30-44,Street,60,Firearm,,,Firearm
61,24199,2,Men,Firearm,High School or more,20-29,Street,61,Firearm,,,Firearm
62,14488,1,Men,Firearm,High School or more,30-44,Home,62,Firearm,,,Firearm
63,18831,2,Women,Other,Middle school,0-19,Street,63,Other,,,Other
64,16784,2,Men,Firearm,High School or more,0-19,Street,64,Firearm,,,Firearm
