Month,Day,Value
January,1,23
January,2,46
January,3,53
January,4,61
January,5,53
January,6,60
January,7,34
January,8,33
January,9,66
January,10,72
January,11,59
January,12,81
January,13,48
January,14,46
January,15,46
January,16,77
January,17,80
January,18,70
January,19,68
January,20,65
January,21,48
January,22,42
January,23,78
January,24,72
January,25,71
January,26,62
January,27,83
January,28,48
January,29,45
January,30,67
January,31,79
February,1,57
February,2,59
February,3,85
February,4,45
February,5,48
February,6,44
February,7,75
February,8,59
February,9,74
February,10,78
February,11,48
February,12,49
February,13,65
February,14,55
February,15,71
February,16,71
February,17,65
February,18,47
February,19,43
February,20,75
February,21,91
February,22,77
February,23,74
February,24,71
February,25,53
February,26,42
February,27,82
February,28,82
March,1,53
March,2,83
March,3,80
March,4,33
March,5,27
March,6,62
March,7,68
March,8,57
March,9,81
March,10,67
March,11,37
March,12,47
March,13,81
March,14,74
March,15,63
March,16,66
March,17,70
March,18,51
March,19,46
March,20,55
March,21,89
March,22,72
March,23,68
March,24,72
March,25,34
March,26,38
March,27,78
March,28,61
March,29,64
March,30,59
March,31,55
April,1,28
April,2,38
April,3,74
April,4,71
April,5,56
April,6,72
April,7,62
April,8,40
April,9,39
April,10,76
April,11,66
April,12,60
April,13,67
April,14,32
April,15,40
April,16,40
April,17,72
April,18,68
April,19,61
April,20,54
April,21,68
April,22,40
April,23,45
April,24,83
April,25,63
April,26,83
April,27,49
April,28,78
April,29,36
April,30,50
May,1,53
May,2,61
May,3,65
May,4,56
May,5,60
May,6,50
May,7,36
May,8,75
May,9,82
May,10,57
May,11,71
May,12,61
May,13,47
May,14,46
May,15,77
May,16,83
May,17,59
May,18,95
May,19,67
May,20,39
May,21,43
May,22,93
May,23,86
May,24,78
May,25,73
May,26,62
May,27,50
May,28,43
May,29,85
May,30,77
May,31,90
June,1,50
June,2,65
June,3,46
June,4,37
June,5,69
June,6,80
June,7,67
June,8,81
June,9,63
June,10,43
June,11,45
June,12,97
June,13,76
June,14,70
June,15,82
June,16,79
June,17,46
June,18,50
June,19,98
June,20,81
June,21,68
June,22,73
June,23,73
June,24,48
June,25,65
June,26,78
June,27,79
June,28,93
June,29,78
June,30,77
July,1,54
July,2,53
July,3,91
July,4,83
July,5,83
July,6,60
July,7,90
July,8,49
July,9,42
July,10,90
July,11,78
July,12,72
July,13,63
July,14,76
July,15,34
July,16,35
July,17,77
July,18,60
July,19,75
July,20,57
July,21,68
July,22,54
July,23,49
July,24,83
July,25,79
July,26,63
July,27,74
July,28,45
July,29,45
July,30,38
July,31,103
August,1,56
August,2,60
August,3,76
August,4,66
August,5,46
August,6,46
August,7,89
August,8,86
August,9,64
August,10,79
August,11,55
August,12,42
August,13,47
August,14,84
August,15,84
August,16,80
August,17,71
August,18,73
August,19,43
August,20,47
August,21,100
August,22,95
August,23,95
August,24,66
August,25,67
August,26,62
August,27,75
August,28,77
August,29,75
August,30,85
August,31,57
September,1,51
September,2,38
September,3,35
September,4,85
September,5,62
September,6,84
September,7,68
September,8,58
September,9,61
September,10,54
September,11,86
September,12,88
September,13,83
September,14,77
September,15,59
September,16,44
September,17,57
September,18,121
September,19,98
September,20,83
September,21,78
September,22,80
September,23,55
September,24,44
September,25,87
September,26,85
September,27,102
September,28,73
September,29,66
September,30,52
October,1,48
October,2,74
October,3,74
October,4,62
October,5,70
October,6,88
October,7,44
October,8,48
October,9,102
October,10,86
October,11,79
October,12,70
October,13,67
October,14,67
October,15,61
October,16,95
October,17,86
October,18,81
October,19,89
October,20,87
October,21,55
October,22,52
October,23,93
October,24,80
October,25,78
October,26,54
October,27,82
October,28,36
October,29,37
October,30,95
October,31,86
November,1,70
November,2,47
November,3,73
November,4,45
November,5,46
November,6,92
November,7,87
November,8,102
November,9,81
November,10,99
November,11,66
November,12,47
November,13,81
November,14,73
November,15,78
November,16,98
November,17,68
November,18,55
November,19,56
November,20,63
November,21,103
November,22,101
November,23,85
November,24,73
November,25,41
November,26,45
November,27,89
November,28,87
November,29,100
November,30,76
December,1,84
December,2,51
December,3,61
December,4,103
December,5,91
December,6,91
December,7,66
December,8,68
December,9,36
December,10,45
December,11,85
December,12,80
December,13,74
December,14,71
December,15,86
December,16,53
December,17,45
December,18,92
December,19,92
December,20,75
December,21,97
December,22,84
December,23,59
December,24,73
December,25,57
December,26,90
December,27,91
December,28,82
December,29,98
December,30,82
December,31,124
