"","X1","sexo2","cause_r","educ_r","age_r","location_r","random_number"
"1",1,"Men","Asphyxiation","High School or more","30-44","Other",14740
"2",2,"Men","Firearm","Primary or less","30-44","Other",4543
"3",3,"Men","Knife","High School or more","30-44","Street",22055
"4",4,"Men","Asphyxiation","Middle school","0-19","Other",6517
"5",5,"Men","Knife","Middle school","30-44","Other",2622
"6",6,"Men","Non-specified means","High School or more","30-44","Other",3974
"7",7,"Men","Other","Primary or less","69 +","Other",10744
"8",8,"Men","Firearm","Middle school","45-69","Street",14176
"9",9,"Men","Asphyxiation","High School or more","20-29","Home",22000
"10",10,"Men","Non-specified means","High School or more","30-44","Street",15069
"11",11,"Men","Knife","High School or more","20-29","Other",2645
"12",12,"Men","Firearm","High School or more","45-69","Other",28250
"13",13,"Men","Knife","Middle school","30-44","Street",8422
"14",14,"Men","Non-specified means","High School or more","30-44","Home",6096
"15",15,"Men","Knife","High School or more","20-29","Other",25313
"16",16,"Women","Firearm","High School or more","20-29","Street",28780
"17",17,"Men","Firearm","Middle school","30-44","Other",7556
"18",18,"Men","Knife","Primary or less","0-19","Home",22534
"19",19,"Women","Knife","High School or more","30-44","Home",23584
"20",20,"Men","Non-specified means","Middle school","30-44","Other",18062
"21",21,"Men","Non-specified means","High School or more","45-69","Other",17814
"22",22,"Men","Knife","High School or more","20-29","Street",913
"23",23,"Men","Non-specified means","High School or more","45-69","Street",23742
"24",24,"Men","Non-specified means","Middle school","20-29","Other",15440
"25",25,"Men","Firearm","Primary or less","30-44","Other",31703
"26",26,"Men","Firearm","Middle school","45-69","Home",27428
"27",27,"Men","Firearm","Middle school","20-29","Street",19254
"28",28,"Men","Firearm","High School or more","20-29","Street",2529
"29",29,"Women","Knife","High School or more","20-29","Home",26012
"30",30,"Men","Firearm","Middle school","20-29","Other",9889
"31",31,"Men","Firearm","High School or more","20-29","Home",13398
"32",32,"Men","Non-specified means","High School or more","30-44","Other",464
"33",33,"Men","Knife","High School or more","30-44","Street",11596
"34",34,"Men","Knife","High School or more","20-29","Street",26261
"35",35,"Men","Firearm","High School or more","0-19","Street",11624
"36",36,"Men","Firearm","High School or more","30-44","Other",3373
"37",37,"Men","Firearm","Primary or less","20-29","Other",17023
"38",38,"Men","Firearm","Primary or less","69 +","Street",10628
"39",39,"Men","Knife","High School or more","20-29","Home",15627
"40",40,"Women","Knife","High School or more","20-29","Home",10723
"41",41,"Men","Firearm","High School or more","20-29","Street",2590
"42",42,"Women","Other","Primary or less","0-19","Home",11331
"43",43,"Men","Firearm","Middle school","45-69","Other",26710
"44",44,"Men","Firearm","Primary or less","30-44","Street",18131
"45",45,"Men","Firearm","High School or more","30-44","Street",401
"46",46,"Men","Non-specified means","Middle school","69 +","Home",18880
"47",47,"Men","Non-specified means","Primary or less","30-44","Home",9990
"48",48,"Men","Firearm","High School or more","0-19","Other",14825
"49",49,"Men","Knife","High School or more","20-29","Other",6782
"50",50,"Men","Knife","Middle school","20-29","Other",7392
