,X1,sex,cause_r,educ_r,age_r,location_r,random_number
1,25421,Men,Firearm,Primary or less,69 +,Street,1
2,15073,Men,Non-specified means,High School or more,30-44,Other,2
3,31878,Men,Firearm,Primary or less,30-44,Street,3
4,28037,Men,Non-specified means,Primary or less,45-69,Street,4
5,27274,Men,Firearm,Primary or less,30-44,Street,5
6,19866,Men,Firearm,High School or more,20-29,Home,6
7,15742,Women,Non-specified means,High School or more,30-44,Street,7
8,9825,Men,Firearm,Primary or less,69 +,Street,8
9,24147,Men,Firearm,High School or more,30-44,Street,9
10,17279,Men,Non-specified means,Primary or less,20-29,Other,10
11,19588,Men,Firearm,High School or more,20-29,Street,11
12,9026,Men,Firearm,Middle school,69 +,Other,12
13,26892,Men,Other,Primary or less,45-69,Other,13
14,9337,Women,Firearm,Middle school,45-69,Street,14
15,21911,Men,Other,Primary or less,45-69,Home,15
16,24564,Men,Firearm,High School or more,30-44,Street,16
17,6826,Men,Knife,Primary or less,30-44,Street,17
18,3988,Men,Firearm,Primary or less,30-44,Street,18
19,31474,Men,Firearm,Middle school,45-69,Other,19
20,632,Men,Firearm,High School or more,20-29,Home,20
21,25216,Men,Asphyxiation,Primary or less,69 +,Other,21
22,634,Men,Knife,Primary or less,69 +,Street,22
23,2030,Men,Firearm,Middle school,20-29,Street,23
24,13503,Men,Firearm,High School or more,30-44,Street,24
25,10745,Men,Firearm,High School or more,30-44,Other,25
26,29798,Men,Firearm,High School or more,30-44,Street,26
27,9550,Men,Firearm,High School or more,30-44,Street,27
28,13002,Men,Firearm,High School or more,20-29,Street,28
29,1389,Men,Firearm,Primary or less,30-44,Other,29
30,603,Men,Firearm,High School or more,30-44,Street,30
31,21280,Men,Non-specified means,High School or more,30-44,Other,31
32,6901,Men,Non-specified means,Primary or less,20-29,Other,32
33,23927,Men,Firearm,Middle school,30-44,Other,33
34,20929,Women,Firearm,Middle school,30-44,Home,34
35,20064,Men,Firearm,Middle school,20-29,Other,35
36,4885,Men,Firearm,Middle school,30-44,Street,36
37,18106,Women,Firearm,Middle school,30-44,Street,37
38,26684,Men,Firearm,High School or more,20-29,Home,38
39,16492,Men,Firearm,High School or more,30-44,Street,39
40,2950,Men,Firearm,Primary or less,20-29,Street,40
41,25656,Women,Firearm,Primary or less,20-29,Other,41
42,14570,Men,Knife,Primary or less,0-19,Home,42
43,21588,Men,Non-specified means,Middle school,30-44,Street,43
44,19902,Men,Non-specified means,Primary or less,69 +,Other,44
45,28441,Women,Asphyxiation,Middle school,45-69,Home,45
46,17327,Men,Firearm,High School or more,20-29,Street,46
